region,Year,average_total_load
p55,2020,43951.37
p55,2021,44005.94
p55,2022,43337.3775
p55,2023,42809.965
p55,2024,43478.5275
p55,2025,43951.37
p55,2026,44249.59
p55,2027,44005.94
p55,2028,43337.3775
p55,2029,43478.5275
p55,2030,43951.37
p55,2031,43951.37
p55,2032,44249.59
p55,2033,43337.3775
p55,2034,42809.965
p55,2035,43478.5275
p55,2036,43951.37
p55,2037,44249.59
p55,2038,44005.94
p55,2039,43337.3775
p55,2040,42809.965
p55,2041,43951.37
p55,2042,43951.37
p55,2043,44249.59
p55,2044,44005.94
p55,2045,42809.965
p55,2046,43478.5275
p55,2047,43951.37
p55,2048,43951.37
p55,2049,44005.94
p55,2050,43337.3775
p55,2051,42809.965
p55,2052,43478.5275
p55,2053,43951.37
p55,2054,44249.59
p55,2055,44005.94
p55,2056,43337.3775
p55,2057,43478.5275
p55,2058,43951.37
p55,2059,43951.37
p55,2060,44249.59
p55,2061,43337.3775
p55,2062,42809.965
p55,2063,43478.5275
p55,2064,43951.37
p55,2065,44249.59
p55,2066,44005.94
p55,2067,43337.3775
p55,2068,42809.965
p55,2069,43951.37
p55,2070,43951.37
p55,2071,44249.59
p55,2072,44005.94
p55,2073,42809.965
p55,2074,43478.5275
p55,2075,43951.37
p55,2076,43951.37
p55,2077,44005.94
p55,2078,43337.3775
p55,2079,42809.965
p55,2080,43478.5275
p55,2081,43951.37
p55,2082,44249.59
p55,2083,44005.94
p55,2084,43337.3775
p55,2085,43478.5275
p55,2086,43951.37
p55,2087,43951.37
p55,2088,44249.59
p55,2089,43337.3775
p55,2090,42809.965
p55,2091,43478.5275
p55,2092,43951.37
p55,2093,44249.59
p55,2094,44005.94
p55,2095,43337.3775
p55,2096,42809.965
p55,2097,43951.37
p55,2098,43951.37
p55,2099,44249.59
p94,2020,506813.49
p94,2021,506813.49
p94,2022,506813.49
p94,2023,506813.49
p94,2024,493208.66
p94,2025,493208.66
p94,2026,506813.49
p94,2027,506813.49
p94,2028,506813.49
p94,2029,506813.49
p94,2030,493208.66
p94,2031,493208.66
p94,2032,506813.49
p94,2033,506813.49
p94,2034,506813.49
p94,2035,506813.49
p94,2036,493208.66
p94,2037,506813.49
p94,2038,506813.49
p94,2039,506813.49
p94,2040,506813.49
p94,2041,493208.66
p94,2042,493208.66
p94,2043,506813.49
p94,2044,506813.49
p94,2045,506813.49
p94,2046,506813.49
p94,2047,493208.66
p94,2048,506813.49
p94,2049,506813.49
p94,2050,506813.49
p94,2051,506813.49
p94,2052,493208.66
p94,2053,493208.66
p94,2054,506813.49
p94,2055,506813.49
p94,2056,506813.49
p94,2057,506813.49
p94,2058,493208.66
p94,2059,493208.66
p94,2060,506813.49
p94,2061,506813.49
p94,2062,506813.49
p94,2063,506813.49
p94,2064,493208.66
p94,2065,506813.49
p94,2066,506813.49
p94,2067,506813.49
p94,2068,506813.49
p94,2069,493208.66
p94,2070,493208.66
p94,2071,506813.49
p94,2072,506813.49
p94,2073,506813.49
p94,2074,506813.49
p94,2075,493208.66
p94,2076,506813.49
p94,2077,506813.49
p94,2078,506813.49
p94,2079,506813.49
p94,2080,493208.66
p94,2081,493208.66
p94,2082,506813.49
p94,2083,506813.49
p94,2084,506813.49
p94,2085,506813.49
p94,2086,493208.66
p94,2087,493208.66
p94,2088,506813.49
p94,2089,506813.49
p94,2090,506813.49
p94,2091,506813.49
p94,2092,493208.66
p94,2093,506813.49
p94,2094,506813.49
p94,2095,506813.49
p94,2096,506813.49
p94,2097,493208.66
p94,2098,493208.66
p94,2099,506813.49
p12,2020,34153.52
p12,2021,33033.346666666665
p12,2022,33052.05333333334
p12,2023,33258.86666666667
p12,2024,33725.833333333336
p12,2025,34153.52
p12,2026,34153.52
p12,2027,33033.346666666665
p12,2028,33258.86666666667
p12,2029,33306.62333333333
p12,2030,33725.833333333336
p12,2031,34153.52
p12,2032,33033.346666666665
p12,2033,33052.05333333334
p12,2034,33258.86666666667
p12,2035,33306.62333333333
p12,2036,34153.52
p12,2037,34153.52
p12,2038,33033.346666666665
p12,2039,33052.05333333334
p12,2040,33306.62333333333
p12,2041,33725.833333333336
p12,2042,34153.52
p12,2043,34153.52
p12,2044,33052.05333333334
p12,2045,33258.86666666667
p12,2046,33306.62333333333
p12,2047,33725.833333333336
p12,2048,34153.52
p12,2049,33033.346666666665
p12,2050,33052.05333333334
p12,2051,33258.86666666667
p12,2052,33725.833333333336
p12,2053,34153.52
p12,2054,34153.52
p12,2055,33033.346666666665
p12,2056,33258.86666666667
p12,2057,33306.62333333333
p12,2058,33725.833333333336
p12,2059,34153.52
p12,2060,33033.346666666665
p12,2061,33052.05333333334
p12,2062,33258.86666666667
p12,2063,33306.62333333333
p12,2064,34153.52
p12,2065,34153.52
p12,2066,33033.346666666665
p12,2067,33052.05333333334
p12,2068,33306.62333333333
p12,2069,33725.833333333336
p12,2070,34153.52
p12,2071,34153.52
p12,2072,33052.05333333334
p12,2073,33258.86666666667
p12,2074,33306.62333333333
p12,2075,33725.833333333336
p12,2076,34153.52
p12,2077,33033.346666666665
p12,2078,33052.05333333334
p12,2079,33258.86666666667
p12,2080,33725.833333333336
p12,2081,34153.52
p12,2082,34153.52
p12,2083,33033.346666666665
p12,2084,33258.86666666667
p12,2085,33306.62333333333
p12,2086,33725.833333333336
p12,2087,34153.52
p12,2088,33033.346666666665
p12,2089,33052.05333333334
p12,2090,33258.86666666667
p12,2091,33306.62333333333
p12,2092,34153.52
p12,2093,34153.52
p12,2094,33033.346666666665
p12,2095,33052.05333333334
p12,2096,33306.62333333333
p12,2097,33725.833333333336
p12,2098,34153.52
p12,2099,34153.52
p71,2020,7563.075000000001
p71,2021,7175.47
p71,2022,7175.47
p71,2023,7184.655000000001
p71,2024,7563.075000000001
p71,2025,7563.075000000001
p71,2026,7563.075000000001
p71,2027,7175.47
p71,2028,7175.47
p71,2029,7563.075000000001
p71,2030,7563.075000000001
p71,2031,7563.075000000001
p71,2032,7563.075000000001
p71,2033,7175.47
p71,2034,7184.655000000001
p71,2035,7563.075000000001
p71,2036,7563.075000000001
p71,2037,7563.075000000001
p71,2038,7175.47
p71,2039,7175.47
p71,2040,7184.655000000001
p71,2041,7563.075000000001
p71,2042,7563.075000000001
p71,2043,7563.075000000001
p71,2044,7175.47
p71,2045,7184.655000000001
p71,2046,7563.075000000001
p71,2047,7563.075000000001
p71,2048,7563.075000000001
p71,2049,7175.47
p71,2050,7175.47
p71,2051,7184.655000000001
p71,2052,7563.075000000001
p71,2053,7563.075000000001
p71,2054,7563.075000000001
p71,2055,7175.47
p71,2056,7175.47
p71,2057,7563.075000000001
p71,2058,7563.075000000001
p71,2059,7563.075000000001
p71,2060,7563.075000000001
p71,2061,7175.47
p71,2062,7184.655000000001
p71,2063,7563.075000000001
p71,2064,7563.075000000001
p71,2065,7563.075000000001
p71,2066,7175.47
p71,2067,7175.47
p71,2068,7184.655000000001
p71,2069,7563.075000000001
p71,2070,7563.075000000001
p71,2071,7563.075000000001
p71,2072,7175.47
p71,2073,7184.655000000001
p71,2074,7563.075000000001
p71,2075,7563.075000000001
p71,2076,7563.075000000001
p71,2077,7175.47
p71,2078,7175.47
p71,2079,7184.655000000001
p71,2080,7563.075000000001
p71,2081,7563.075000000001
p71,2082,7563.075000000001
p71,2083,7175.47
p71,2084,7175.47
p71,2085,7563.075000000001
p71,2086,7563.075000000001
p71,2087,7563.075000000001
p71,2088,7563.075000000001
p71,2089,7175.47
p71,2090,7184.655000000001
p71,2091,7563.075000000001
p71,2092,7563.075000000001
p71,2093,7563.075000000001
p71,2094,7175.47
p71,2095,7175.47
p71,2096,7184.655000000001
p71,2097,7563.075000000001
p71,2098,7563.075000000001
p71,2099,7563.075000000001
p36,2020,11794.665
p36,2021,11794.665
p36,2022,11475.15
p36,2023,11137.474999999999
p36,2024,11456.99
p36,2025,11794.665
p36,2026,11794.665
p36,2027,11794.665
p36,2028,11475.15
p36,2029,11456.99
p36,2030,11794.665
p36,2031,11794.665
p36,2032,11794.665
p36,2033,11475.15
p36,2034,11137.474999999999
p36,2035,11456.99
p36,2036,11794.665
p36,2037,11794.665
p36,2038,11794.665
p36,2039,11475.15
p36,2040,11137.474999999999
p36,2041,11794.665
p36,2042,11794.665
p36,2043,11794.665
p36,2044,11794.665
p36,2045,11137.474999999999
p36,2046,11456.99
p36,2047,11794.665
p36,2048,11794.665
p36,2049,11794.665
p36,2050,11475.15
p36,2051,11137.474999999999
p36,2052,11456.99
p36,2053,11794.665
p36,2054,11794.665
p36,2055,11794.665
p36,2056,11475.15
p36,2057,11456.99
p36,2058,11794.665
p36,2059,11794.665
p36,2060,11794.665
p36,2061,11475.15
p36,2062,11137.474999999999
p36,2063,11456.99
p36,2064,11794.665
p36,2065,11794.665
p36,2066,11794.665
p36,2067,11475.15
p36,2068,11137.474999999999
p36,2069,11794.665
p36,2070,11794.665
p36,2071,11794.665
p36,2072,11794.665
p36,2073,11137.474999999999
p36,2074,11456.99
p36,2075,11794.665
p36,2076,11794.665
p36,2077,11794.665
p36,2078,11475.15
p36,2079,11137.474999999999
p36,2080,11456.99
p36,2081,11794.665
p36,2082,11794.665
p36,2083,11794.665
p36,2084,11475.15
p36,2085,11456.99
p36,2086,11794.665
p36,2087,11794.665
p36,2088,11794.665
p36,2089,11475.15
p36,2090,11137.474999999999
p36,2091,11456.99
p36,2092,11794.665
p36,2093,11794.665
p36,2094,11794.665
p36,2095,11475.15
p36,2096,11137.474999999999
p36,2097,11794.665
p36,2098,11794.665
p36,2099,11794.665
