region,Year,number_of_days
p41,2040,11
p41,2041,30
p41,2042,55
p41,2043,67
p41,2044,76
p41,2045,83
p41,2046,89
p41,2047,92
p41,2048,100
p41,2049,104
p41,2050,107
p41,2051,111
p41,2052,116
p41,2053,118
p41,2054,123
p41,2055,130
p41,2056,134
p41,2057,140
p41,2058,150
p41,2059,160
p41,2060,175
p41,2061,180
p41,2062,185
p41,2063,193
p41,2064,198
p41,2065,201
p41,2066,209
p41,2067,214
p41,2068,222
p41,2069,231
p41,2070,238
p41,2071,244
p41,2072,250
p41,2073,257
p41,2074,264
p41,2075,269
p41,2076,281
p41,2077,297
p41,2078,321
p41,2079,337
p41,2080,360
p41,2081,365
p41,2082,365
p41,2083,365
p41,2084,366
p41,2085,365
p41,2086,365
p41,2087,365
p41,2088,366
p41,2089,365
p41,2090,365
p41,2091,365
p41,2092,366
p41,2093,365
p41,2094,365
p41,2095,365
p41,2096,366
p41,2097,365
p41,2098,365
p41,2099,365
p76,2060,7
p76,2061,14
p76,2062,30
p76,2063,34
p76,2064,40
p76,2065,50
p76,2066,52
p76,2067,62
p76,2068,68
p76,2069,72
p76,2070,75
p76,2071,79
p76,2072,87
p76,2073,88
p76,2074,91
p76,2075,95
p76,2076,96
p76,2077,98
p76,2078,101
p76,2079,103
p76,2080,108
p76,2081,111
p76,2082,111
p76,2083,116
p76,2084,117
p76,2085,118
p76,2086,124
p76,2087,125
p76,2088,132
p76,2089,133
p76,2090,141
p76,2091,141
p76,2092,151
p76,2093,153
p76,2094,154
p76,2095,159
p76,2096,166
p76,2097,165
p76,2098,168
p76,2099,172
p31,2040,6
p31,2041,19
p31,2042,26
p31,2043,38
p31,2044,43
p31,2045,56
p31,2046,61
p31,2047,72
p31,2048,79
p31,2049,85
p31,2050,95
p31,2051,99
p31,2052,104
p31,2053,111
p31,2054,115
p31,2055,119
p31,2056,123
p31,2057,127
p31,2058,130
p31,2059,136
p31,2060,141
p31,2061,150
p31,2062,159
p31,2063,172
p31,2064,176
p31,2065,182
p31,2066,188
p31,2067,190
p31,2068,197
p31,2069,204
p31,2070,209
p31,2071,215
p31,2072,224
p31,2073,226
p31,2074,231
p31,2075,235
p31,2076,240
p31,2077,245
p31,2078,251
p31,2079,256
p31,2080,261
p31,2081,267
p31,2082,268
p31,2083,275
p31,2084,281
p31,2085,285
p31,2086,289
p31,2087,298
p31,2088,329
p31,2089,364
p31,2090,365
p31,2091,365
p31,2092,366
p31,2093,365
p31,2094,365
p31,2095,365
p31,2096,366
p31,2097,365
p31,2098,365
p31,2099,365
Washington,2060,1
Washington,2061,12
Washington,2062,17
Washington,2063,23
Washington,2064,34
Washington,2065,42
Washington,2066,41
Washington,2067,57
Washington,2068,74
Washington,2069,86
Washington,2070,97
Washington,2071,101
Washington,2072,106
Washington,2073,110
Washington,2074,110
Washington,2075,118
Washington,2076,117
Washington,2077,120
Washington,2078,124
Washington,2079,127
Washington,2080,132
Washington,2081,142
Washington,2082,144
Washington,2083,148
Washington,2084,154
Washington,2085,158
Washington,2086,159
Washington,2087,165
Washington,2088,169
Washington,2089,168
Washington,2090,176
Washington,2091,176
Washington,2092,180
Washington,2093,184
Washington,2094,191
Washington,2095,197
Washington,2096,200
Washington,2097,204
Washington,2098,206
Washington,2099,212
p52,2064,11
p52,2065,16
p52,2066,19
p52,2067,24
p52,2068,27
p52,2069,32
p52,2070,38
p52,2071,38
p52,2072,47
p52,2073,55
p52,2074,66
p52,2075,76
p52,2076,82
p52,2077,88
p52,2078,86
