,Year,Month,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,USA
0,2020,1,4889476.87,2713722.26,1176309.12,471154.17,3457671.19,999639.78,111362.62,105250.04,9237963.9,10005641.13,1476815.42,962070.62,1590612.24,402961.39,1245733.49,400720.87,730628.05,397800.76,9929.25,177229.26,726217.19,176843.75,114438.08,630874.97,2332283.23,134072.89,612466.62,3847565.69,83496.51,742167.2,1291585.24,142375.64,3319650.45,1264618.41,57601.34,332556.18,901376.06,927507.89,170114.77,966242.94,1402995.03,390408.64,5336256.62,159281.35,970917.17,766553.72,522248.52,1701792.08,55356.42,2954404.45,1670079.5,130892.16,3201658.96,2000227.59,990124.62,1123044.9,574350.91,5148276.06,456114.97,263221.77,632140.56,455864.29,8668442.63,2912577.58,4008952.05,1681055.25,5661906.24,303467.47,420090.99,2637412.24,177583.98,3841270.85,254969.92,178835.13,911057.11,996392.06,260003.39,649676.78,2455965.43,8398804.06,2159129.31,784599.57,1297672.57,412908.07,2665258.23,1633698.14,3009587.17,1035615.43,3986558.85,3484541.84,989682.62,9067286.83,1407518.11,11427508.29,2343353.64,4616161.64,6010338.75,5721465.44,8036230.0,276643.88,10008926.29,5846822.78,8240328.41,837692.61,5637942.24,1481791.12,2315879.67,898650.34,5399608.97,628679.36,4690465.56,6019816.54,1364688.72,2162502.44,2859077.84,1639095.12,1331400.28,1878088.68,348458.96,203937.79,644417.07,10050461.53,6265480.48,47699.04,988345.49,6722918.64,10590321.3,1666157.54,509730.99,980462.82,5008045.06,2663314.39,670710.39,1051723.86,7471100.6899999995,5285696.02,3788303.13,20825670.490000002,4584268.86,2663314.39,988345.49,6265480.48,16845431.69,11427508.29,2049415.75,12640205.510000002,9435613.030000001,4028420.4000000004,3332551.12,8334456.779999999,6781974.199999999,1051723.86,6909897.550000001,5008045.06,9256856.15,6189414.08,4045202.6,7677085.03,1373188.6600000001,2539352.7399999998,2552682.86,980462.82,6722918.64,1813833.76,12256478.84,11731804.190000001,1233932.24,14237473.26,4679840.37,4568673.59,13461936.12,670710.39,6959515.279999999,1069883.53,9067286.83,27016418.330000006,2466356.12,509730.99,10238661.6,9250662.42,2970495.4000000004,6039648.49,1648373.99,322946302.1100001
1,2020,2,3978324.56,2231744.2,970594.8,379574.26,2874999.26,851818.6,92223.93,91649.06,8301626.56,9133645.8,1329866.91,863763.37,1428128.81,332794.11,1041052.81,345717.02,625370.16,346268.84,8749.22,154138.22,640739.37,156996.76,104538.61,569684.32,2086306.93,120773.89,553759.22,3452768.39,76721.36,674966.45,1166164.87,129036.81,2984647.19,1144220.66,51555.51,297553.74,809341.37,849578.35,156262.06,890545.33,1324236.07,346216.85,4842058.41,144328.77,916634.31,691260.7,482676.57,1580142.9,51354.31,2777857.69,1594068.4,120629.53,3016237.84,1895752.82,952753.42,1070832.56,530661.14,4914290.04,417846.79,244832.59,597125.72,421460.43,8166100.52,2640298.59,3813129.72,1582231.49,5463517.7,277767.65,390481.46,2466958.62,167180.09,3605681.25,241868.76,166192.98,846104.61,922794.37,238337.28,604621.63,2250464.02,7761135.23,2034412.33,733389.5,1214788.72,406088.95,2567068.66,1553617.21,2903100.1,1016459.12,3903888.09,3466848.41,974152.86,8910991.7,1363829.92,11439067.44,2290740.46,4592762.6,5907209.39,5753363.77,7698371.69,259150.94,9916456.73,5598847.9,7574142.66,778205.81,5236450.59,1365542.97,2169209.79,864988.09,5224275.69,611322.21,4354205.63,5614797.33,1270577.21,2043080.9,2689752.27,1556682.84,1285841.0,1816959.66,327337.06,190897.3,604374.94,9321463.73,5838134.18,45097.68,920486.14,6228009.59,9934479.87,1544477.49,468018.78,896978.17,4650551.63,2477695.01,621653.8,973061.9,7370736.5,4758215.420000001,3637901.22,18856788.33,4128867.8499999996,2477695.01,920486.14,5838134.18,16489457.49,11439067.44,1719563.94,11743725.780000001,8771203.35,3774074.39,3136867.3699999996,8064415.91,6467907.25,973061.9,6442509.119999999,4650551.63,8518541.450000001,5610371.68,3919559.22,7269325.29,1186081.9500000002,2371043.46,2291892.18,896978.17,6228009.59,1648841.4400000002,11478957.36,11660573.16,1106895.1099999999,13282661.070000002,4423280.4,3819041.79,12529450.360000001,621653.8,6883503.06,978615.1599999999,8910991.7,25457347.59,2207080.82,468018.78,9819579.97,7560237.82,2842523.84,5553582.61,1471959.06,302677828.10999995
2,2020,3,4171793.87,2268048.58,979053.66,361322.09,2960658.85,876770.77,95303.8,96760.5,8785401.11,9724330.29,1394315.22,917178.74,1501318.66,337090.74,1062548.47,354259.83,640065.96,351021.95,8886.82,159418.29,659659.63,158067.08,106852.73,574858.55,2156409.32,123273.41,577963.8,3631732.7,80351.99,708857.35,1207419.35,130169.82,3132785.12,1181511.42,50767.25,291718.32,797789.15,840703.43,151052.12,863636.68,1309347.5,345785.8,4770663.17,143742.11,899185.74,685628.94,513107.3,1688848.64,54390.44,2733923.06,1532140.59,125727.51,2963592.25,1809637.34,882124.32,1029865.01,515005.78,4838349.17,441724.37,247760.36,560741.46,426423.37,8174728.23,2553293.13,3888044.11,1569146.38,5591074.86,274521.31,386194.01,2415370.43,156675.72,3471195.83,227877.94,170407.8,874079.64,945177.02,240383.4,616797.52,2323714.21,7787153.47,1979847.48,714712.25,1185057.68,369182.77,2517855.34,1548015.83,2818489.85,956488.35,3685978.62,3260785.98,922613.9,8415523.32,1299575.25,10800573.08,2193912.74,4299181.68,5589837.96,5312913.49,7264552.3,251237.29,10568366.96,6072630.35,7799543.47,776454.98,5088710.65,1334672.5,2122905.53,829361.61,4997109.13,581501.49,4247151.05,5440863.27,1235545.67,1985651.16,2599608.95,1507783.77,1237870.87,1750107.79,316880.54,186546.85,591713.57,9131548.52,5669445.72,44390.84,912420.45,6158304.84,10018049.9,1552049.07,464498.99,896694.44,4678771.46,2458833.43,627634.01,987978.83,6946764.6,4998905.84,3547720.3499999996,20000807.119999997,4314296.54,2458833.43,912420.45,5669445.72,17563611.21,10800573.08,1753899.04,11666770.879999999,8546288.68,3700750.1800000006,3089319.76,7707547.48,6386365.0,987978.83,6261159.29,4678771.46,8746406.25,5534712.39,3774978.2,6916693.920000001,1210160.27,2324036.3000000003,2418497.4,896694.44,6158304.84,1720526.6500000001,11570098.97,10902751.45,1089507.47,12909211.15,4320454.09,3932733.42,12234584.859999998,627634.01,6493094.42,970873.25,8415523.32,25656790.689999998,2279682.73,464498.99,9310288.22,7780218.2,2745654.64,5685780.7299999995,1499437.9900000002,300582058.2
3,2020,4,3702964.52,2026952.71,874617.5599999999,335329.51,2623826.37,772633.79,89128.67,99275.63,8672478.69,9783768.96,1368116.41,854443.7,1576022.67,299542.48,979551.14,376155.39,559691.42,290743.68,7764.41,153989.01,639196.8,83127.06,76544.62,457704.3,2034545.57,83260.6,563054.95,3787205.26,73364.18,741461.4,1146342.28,112558.56,3014077.56,1088071.74,44199.39,251038.71,692921.49,730752.07,134345.27,753215.55,1168552.28,300609.72,4217086.6,125844.26,796097.3,603538.51,511259.46,1673840.61,53262.21,2498746.03,1390672.4,118460.67,2744178.01,1591996.26,758164.11,962064.32,475860.16,4626453.47,448583.23,241708.43,547804.92,432798.56,8221119.2,2438966.95,3745867.93,1517430.34,5566131.35,242094.55,341208.73,2155317.59,131719.33,3051028.82,197363.92,155122.95,800012.35,860543.67,215679.0,565047.94,2133604.5,7036111.13,1761919.62,637199.16,1054493.81,314345.68,2433036.46,1507127.38,2663121.37,847426.9,3334421.93,3027193.05,870803.79,7323386.32,1154318.11,9860082.79,1927816.03,3810338.77,4906823.35,4483704.37,6089416.64,213039.1,10546100.74,6081759.42,7165586.48,683500.83,4488081.08,1177998.08,1873290.97,730387.27,4320143.98,496806.08,3687044.76,4713137.28,1074808.91,1718249.55,2230527.88,1285871.51,1057179.66,1491330.89,271267.01,158917.8,502276.27,7928792.22,4901229.18,38977.33,808458.48,5512795.69,9061907.82,1411513.87,417963.09,812571.23,4212244.68,2195181.14,568445.12,882483.8,6361614.98,5165085.789999999,3395100.78,19923639.69,4102149.3,2195181.14,808458.48,4901229.18,17498663.95,9860082.79,1655249.01,10489723.72,7539370.13,3292623.62,2862638.6799999997,6701655.440000001,6133580.85,882483.8,5403505.449999999,4212244.68,8004210.260000001,4885635.13,3510548.27,6044618.119999999,1056387.91,2056113.1,2430466.37,812571.23,5512795.69,1657601.74,10473421.690000001,9390527.719999999,943960.2,11193240.5,3942680.6399999997,3485588.83,10589504.91,568445.12,5738154.8,843310.6299999999,7323386.32,25310111.68,2117806.17,417963.09,7832763.96,6939864.3,2343051.17,5178425.969999999,1256572.7800000003,275244009.76
4,2020,5,3650959.5,2083357.28,882810.48,378710.25,2651933.33,793355.15,97515.92,106166.43,9209777.24,10127768.08,1389203.56,895351.45,1828738.11,301957.62,1081704.64,407030.34,570191.08,298484.21,7987.08,163197.76,665555.24,84307.1,78866.88,463042.11,2095918.99,84452.95,607633.44,4290996.3,82688.9,839959.26,1236567.87,117206.57,3081013.77,1105717.47,45945.159999999996,261113.44,728746.5,754783.22,135555.88,774471.13,1278185.17,323763.41,4515497.42,135082.47,857119.9,647302.48,561967.37,1837292.9,58177.58,2915982.89,1608828.91,127062.3,3098470.16,1746127.43,814052.76,1118332.0,544421.79,5521833.69,516676.76,281007.41,653478.29,603302.37,10548598.88,2988910.7,4509899.79,1819508.95,6717052.5,259605.19,364693.09,2334850.86,142525.15,3211066.11,207204.02,164558.49,851366.58,911168.67,228917.85,598632.97,2227829.84,7365982.42,1905531.17,692141.41,1143636.8,332763.76,2862078.34,1791240.63,3128964.62,921349.11,3806200.62,3632774.7600000002,1059639.86,7887868.37,1256229.38,11570873.8,2170830.13,4438728.43,5579613.22,5191358.89,7127005.86,230061.48,12582200.31,7246960.38,7534916.29,711513.68,4841042.04,1270162.87,2018095.74,799721.13,4642365.1,515876.25,3887925.62,4970973.11,1133431.93,1802342.42,2321130.56,1339104.48,1102215.45,1582569.27,281143.84,165275.5,521340.07,8627487.53,5489411.79,43153.56,899954.29,6175103.06,9688264.69,1593085.01,427949.32,839900.63,4374439.7,2355836.84,598225.32,884381.74,7438975.380000001,5821277.9,3980410.34,20832915.310000002,4186731.24,2355836.84,899954.29,5489411.79,20888800.55,11570873.8,1790692.6,11107291.8,8129300.65,3556663.8499999996,3225532.46,7214191.859999999,7313074.32,884381.74,6010751.86,4374439.7,8410988.459999999,5233948.49,4050313.73,6453739.229999999,1085805.29,2188212.1799999997,2724089.56,839900.63,6175103.06,1798535.2400000002,11281349.7,10770972.11,989859.94,11794673.08,4582989.38,3542804.4,11395037.43,598225.32,6609558.56,871989.79,7887868.37,31020150.339999996,2180371.94,427949.32,8982790.17,6995837.51,2441319.9299999997,5465218.39,1291771.33,305162881.15999997
5,2020,6,3478071.6,2083433.14,912368.31,406913.01,2637654.6,818898.53,111547.1,111342.15,9756497.13,11216189.34,1488219.81,927259.48,2356256.71,297950.3,1243346.1,456004.06,569042.8,308996.69,7739.19,167325.46,683761.6,96312.84,82774.82,510697.46,2260984.74,90035.5,793371.35,5495478.13,97221.72,1093478.6,1479505.52,120581.23,3473844.53,1212116.67,48629.68,275211.08,775743.4,814702.45,158738.05,949931.23,1537261.3,343869.41,4897310.15,149065.74,957431.21,698611.89,664466.37,2162296.41,68417.04,3619441.52,1951229.25,156830.31,3836202.14,2139764.26,988973.05,1336559.26,660736.93,6258811.08,630881.68,333497.66,763123.86,723187.97,12333263.65,3494104.55,5190870.0,2060839.06,7763699.48,286352.32,405577.72,2637982.32,169818.88,3640665.48,239898.56,175877.98,915152.71,976479.99,247800.9,647759.32,2386888.04,8346871.71,2185061.19,793873.58,1296509.55,392352.1,3209045.77,1990129.8,3503785.42,1010643.29,4263695.84,4132333.16,1191376.42,8526632.12,1370356.02,12938714.34,2406969.7,4978115.97,6154948.98,5763981.91,7862822.4,247603.34,13298664.16,7713053.89,7942818.97,766247.02,5377976.12,1417678.91,2256616.79,899668.68,5076087.39,551064.99,4156571.27,5322364.41,1220462.31,1931629.61,2447167.83,1409490.22,1170049.06,1680283.05,298997.43,174983.32,550672.04,9476407.88,6088580.61,49055.64,1026063.0,6961299.89,10498676.91,1830185.16,452584.88,902387.81,4745575.07,2559987.69,659477.88,911485.93,8396029.0,7479549.8,4545605.03,22572248.43,4685961.199999999,2559987.69,1026063.0,6088580.61,22203094.47,12938714.34,1997300.4600000002,12622316.03,9052271.82,4000991.25,3993032.45,7897177.079999999,8248940.88,911485.93,6639252.65,4745575.07,8884943.97,5676597.62,4514428.71,7571472.329999999,1101733.82,2645930.58,3283516.19,902387.81,6961299.89,2143971.89,12328862.07,11918930.89,1050954.48,12631027.6,5639087.8100000005,3568100.23,12397556.46,659477.88,7385085.67,935283.6799999999,8526632.12,36116501.25,2351020.24,452584.88,9839764.43,6880786.0600000005,2579539.2800000003,5872692.850000001,1373546.7200000002,338797894.59999996
6,2020,7,3577917.44,2249659.3,1072862.15,476955.65,2929813.47,936975.99,173394.2,138953.1,11768188.25,13194711.67,1753062.4,1064439.36,2817515.18,320589.1,1485116.92,523447.55,607910.45,345353.57,7818.19,182638.67,709371.77,134407.54,91775.5,662743.54,2570837.06,99330.85,1090067.25,6370554.1,80527.92,1266778.72,1607488.89,127895.0,3894064.6,1329572.73,53366.56,303698.3,860321.8,888040.12,198960.04,1250481.45,1814739.86,387574.03,5543369.12,166207.24,1055958.27,798467.33,730530.24,2418838.83,77824.56,4179131.52,2318166.35,183487.01,4572998.61,2620369.78,1227097.19,1575681.1,772100.85,6886660.33,665810.9,366573.38,830140.61,788000.24,13729367.53,3821182.97,5616720.15,2229698.27,8491496.13,321323.23,457558.95,3008938.85,205167.57,4395686.75,296633.05,199203.47,1034520.73,1102461.85,280416.65,731159.24,2719397.55,9892170.6,2628088.89,934822.89,1536483.21,494468.59,3621352.93,2201702.66,3958221.91,1153976.94,4902986.94,4743174.9,1335815.49,9969767.48,1613902.5,14980415.09,2864089.3,5858649.47,7327226.75,6865424.69,9472157.73,290093.96,14589929.37,8203079.86,9346453.08,885470.96,6313511.73,1686827.0,2723761.79,1076637.47,6041263.36,655981.26,4767935.14,6171677.04,1417641.28,2265440.49,2799746.2,1635368.59,1378373.56,1982528.87,341564.71,201171.42,636116.91,11355172.59,7399590.82,60558.59,1275167.28,8569105.09,12550794.19,2352018.67,512778.06,1064236.05,5853783.88,3148212.92,832964.59,1018427.47,9646161.84,8807927.99,5197034.03,26854915.42,5223637.33,3148212.92,1275167.28,7399590.82,24128824.72,14980415.09,2329153.57,14991565.59,10724100.52,4522456.07,4756485.62,9387784.59,9088362.99,1018427.47,8035707.73,5853783.88,10431127.51,6418473.62,5112198.85,9239422.93,1197087.44,3264181.35,3881954.54,1064236.05,8569105.09,2338019.13,14902812.86,14192651.440000001,1164020.1,14622693.95,6575122.43,4040183.66,14697654.92,832964.59,8722738.77,1015935.12,9969767.48,39729929.86,2670167.91,512778.06,11805339.15,7377394.539999999,3013742.1500000004,6666423.35,1598298.35,392996140.6700001
7,2020,8,3468646.36,2169539.17,1047024.99,457619.7,2828263.48,897524.79,159441.36,137483.88,11273817.75,12532295.11,1694614.67,1030565.41,2610405.7,305863.02,1333807.25,488735.23,574486.66,325799.09,7204.08,172593.8,665117.9,133359.57,87482.3,645487.74,2471908.09,94937.65,1047903.8,5965785.76,72027.57,1203343.57,1523641.12,120872.75,3723470.73,1268622.18,51717.21,294925.5,844399.6,864135.85,190792.89,1209025.73,1821956.75,380429.38,5375519.3,160566.12,1035813.24,783384.78,698840.79,2339227.59,76317.39,4054395.7,2272798.98,173856.36,4412905.42,2537892.99,1175668.63,1549915.96,745176.56,6738402.09,630798.53,355569.22,797452.08,760986.16,13547041.23,3741325.37,5439183.32,2192486.82,8368725.22,312096.09,445599.93,2935415.27,198971.85,4236848.95,283880.73,196691.64,1023838.8,1090966.41,277598.52,723900.43,2697702.35,9981742.57,2565526.16,919881.67,1521230.88,475634.24,3598324.98,2169308.57,3893680.56,1142917.91,4803720.98,4658780.15,1313046.86,9938676.66,1593560.56,14887196.62,2814098.77,5767742.44,7200694.44,6845937.28,9365017.09,289165.34,14532874.69,8218864.27,9322605.56,892580.93,6353985.38,1686538.19,2702615.06,1059410.33,5987076.07,646365.28,4922694.08,6301363.84,1434817.27,2277248.7,2828963.58,1635704.66,1366337.74,1947247.88,344627.34,202568.26,638997.5,11419955.72,7368951.84,59996.91,1269833.39,8576129.73,12673288.8,2358308.13,516886.44,1047835.37,5760265.97,3134730.98,822800.2,1024777.19,9462501.13,8289060.7,5148240.9399999995,25638211.41,4992092.91,3134730.98,1269833.39,7368951.84,24064785.82,14887196.62,2128405.5,14988381.280000001,10743138.629999999,4416828.44,4586761.78,9286412.24,8907710.66,1024777.19,8007949.34,5760265.97,10411878.13,6228610.89,5036598.47,8908897.39,1131800.84,3221775.37,3640971.1100000003,1047835.37,8576129.73,2222481.91,15031596.93,14046631.72,1139325.1,14936123.89,6403512.07,3885229.63,14796114.9,822800.2,8581841.21,985008.6,9938676.66,38917972.10000001,2566845.7399999998,516886.44,11661427.219999999,7142830.22,3002042.4,6597391.29,1531447.5100000002,387036919.81
8,2020,9,3322526.5100000002,2016219.53,955514.41,392061.97,2673771.59,816871.83,128362.09,121635.82,10269867.65,11426254.41,1565921.76,923536.0,2190819.15,286519.3,1110815.42,425696.99,533443.99,299871.02,6688.84,159619.61,599525.02,114492.35,78547.51,556825.0,2220119.05,85940.55,892766.79,5225712.56,68149.62,1056435.5,1349440.72,108260.18,3248906.35,1114396.74,47587.42,268188.69,760066.15,777894.32,158878.71,918329.5,1467186.42,338931.46,4792131.59,143544.79,900146.05,687827.77,588747.07,1949604.17,63109.13,3376348.55,1895834.81,142301.94,3577516.97,2022158.28,965072.28,1304951.96,629524.42,6029734.82,575987.54,310811.57,699855.79,652273.42,11622266.47,3316868.17,4975107.57,1952871.14,7523935.46,276912.01,387396.57,2507613.2,161686.47,3627165.14,237558.75,167230.3,867547.89,923779.77,241229.39,615098.0,2295168.75,8170878.72,2164344.75,774614.12,1279437.34,388143.91,3162055.39,1949787.12,3483515.23,1031399.09,4282621.3,4123544.71,1177433.21,8879351.12,1391993.41,13046519.67,2470944.76,5051998.44,6306879.9,5913264.75,7958205.56,249274.69,13640266.31,7608589.35,7710641.22,753487.44,5260230.89,1387794.77,2243336.73,893334.09,5096539.78,566079.85,4144831.91,5318766.43,1210356.42,1922068.34,2443604.5,1426447.62,1197904.68,1727276.58,297812.34,175894.14,556702.75,9444650.22,6116023.08,50591.92,1039279.89,6938391.77,10579531.41,1866476.78,446534.4,886150.12,4811590.33,2569626.64,673759.58,926238.34,8406166.01,7243064.47,4467007.35,23383679.64,4363303.09,2569626.64,1039279.89,6116023.08,22426288.87,13046519.67,1823031.71,12389274.93,8891362.389999999,3795155.8200000003,3719818.91,7947947.13,7979521.94,926238.34,6672725.83,4811590.33,8631358.96,5551519.85,4514914.32,7401784.83,1047210.88,2544394.63,3114355.15,886150.12,6938391.77,1938187.79,12446008.19,12220144.65,1028254.8400000001,12596023.1,5335292.49,3619005.51,12361961.200000001,673759.58,7522943.2,886154.5,8879351.12,34209105.720000006,2306059.5999999996,446534.4,9985348.75,6686322.42,2624352.3,5630651.569999999,1349389.8800000001,335392557.3600001
9,2020,10,3636578.44,2022615.15,925797.09,348052.37,2690320.34,804880.77,95779.26,112720.43,9766075.82,11082292.22,1559565.4,902664.08,1843062.41,304494.84,970894.64,394473.74,554953.42,303592.95,7702.7,165051.69,650176.65,94840.93,79029.8,499414.06,2171071.87,85997.5,726461.55,4325221.79,69655.72,866994.95,1228453.96,115513.89,3115213.35,1118423.55,47998.2,271059.78,772023.43,786704.64,146284.65,826826.93,1288413.77,343749.7,4865815.17,142782.69,858486.04,691537.2,507519.97,1692021.2,54784.03,2692236.95,1513509.35,126792.57,2950670.15,1678598.03,797752.7,1038278.63,508547.78,4876560.93,481046.23,265416.92,564185.16,479946.27,8560246.24,2666123.74,4175237.74,1632122.88,6433817.95,274101.3,371846.91,2308274.89,140233.78,3242642.43,207350.97,164849.52,842521.51,892871.0,237637.44,584995.92,2197804.66,7316376.92,1894249.14,687567.09,1132974.59,323475.33,2591599.59,1575194.22,2786099.97,891915.03,3518744.98,3188479.7,913885.53,7717593.51,1221725.36,10320626.7,2036506.51,4042520.17,5193221.48,4798177.66,6599214.0,223275.56,11726457.13,7002299.02,7262477.3,716864.12,4760272.56,1224900.37,1957253.08,763484.95,4490171.44,515448.48,3904243.85,4953867.23,1128361.35,1788545.78,2324245.44,1329317.67,1095881.22,1551508.57,283520.55,165645.68,522637.82,8339482.06,5215768.55,41176.49,864978.35,5931872.39,9604652.11,1542947.65,439322.76,842816.59,4423389.73,2317172.01,603655.18,940794.93,6707224.68,5988334.01,3629878.2199999997,22520653.87,4233636.9,2317172.01,864978.35,5215768.55,19642641.68,10320626.7,1669863.22,11031167.74,7942426.01,3538607.8400000003,3077462.7199999997,6990830.23,6451755.149999999,940794.93,5738406.37,4423389.73,8144190.9399999995,5626448.859999999,3678015.0,6390053.24,1079298.96,2261525.35,2745726.4899999998,842816.59,5931872.39,1735973.93,11147599.76,9991399.14,1043083.2100000001,11775018.209999999,4260530.33,3590980.3699999996,11112893.729999999,603655.18,6079026.68,902218.53,7717593.51,27458712.110000003,2257069.37,439322.76,8415174.620000001,6933043.05,2425198.8899999997,5447367.7299999995,1323461.44,294604889.2800001
